speaker,start,end,text
SPEAKER_01,254.5,369.04, so  that's  that's  that's  sort  of  where  the  idea  of  this  book  came  from  but  um  but  yeah  i  was  reflecting  back  on  a  lot  of  this  stuff  that  it  happened  when  i  was  young  like  i  used  to  go  to  these  so  i  grew  up  in  a  place  with  cooperative  everything  utilities  like  i  grew  up  in  a  really  rural  area  that  was  the  reason  why  we  had  to  have  an  ITV  classroom  with  that  the  local  cooperative  wired  up  and  made  it  so  that  we  could  get  college  credit  from  uh  teachers  at  other  schools  who  had  um  credentials  from  local  community  colleges  so  we  could  get  like  our  dual  credit  stuff  and  our  AP  credit  and  all  of  that  um  because  there  was  no  capacity  at  our  high  school  of  400  people  that  served  our  entire  county  um  to  do  this  right  um  we  got  this  college  credit  for  free  all  of  this  was  wired  up  for  free  and  the  reason  was  because  the  cooperative  decided  to  build  out  this  project  for  you  know  for  local  team  or  you  know  local  schools  that  serve  you  know  young  people  or  whatever  and  their  families  um  but  i  had  gone  to  these  cooperative  meetings  with  my  grandmother  when  i  was  little  and  i  i  think  that's  where  i  got  and  i  will  talk  about  this  in  the  this  is  like  sort  of  my  funny  anecdote  for  um  starting  out  um  my  talk  but  you  know  i  think  i  got  my  penchant  for  sitting  in  long  boris  meeting  but  long  boring  meetings  that  are  have  a  socialist  bent  uh  you  know  when  i  was  young  going  to  these  meetings  for  the  internet  cooperative  with  my  grandmother  as  they  were  deciding  like  are  we  building  out  you  know  and  then  it  was  a  telephone  cooperative  but  they  were  like  are  we  building  out  to  this  you  know  farm  over  here  this  like  local  library  are  we  hooking  it  up  with  you  know  dial -up  internet  or  or  what  are  we  doing  right  um  and  people  would
SPEAKER_02,358.8,359.56, farm
SPEAKER_01,369.04,380.84, you  know  argue  and  and  discuss  and  think  about  the  best  ways  to  serve  people  and  keep  prices  low  and  you  know  all  of  these  things  so  yeah
SPEAKER_03,380.34,382.18, yeah  so
SPEAKER_01,380.84,387.66, so  i  was  thinking  of  about  that  a  lot  as  i  was  getting  gouged  for  all  sorts  of  utilities  living  in  new  york  city
SPEAKER_00,387.66,410.08, i  bet  yeah  okay  um  i  guess  another  question  about  that  your  whole  journey  here  is  um  i'm  i'm  curious  if  you  could  speak  a  little  bit  about  your  you  know  your  your  primary  influences  i  guess  both  um  you  know  any  mentors  are  important  um  people  to  you  who  um  you  talked  to  for  writing  this  book  but  also  um  you  know  you  talk  a  lot  about  rosa  luxembourg  and  um  e
SPEAKER_01,405.86,407.14, um  you
SPEAKER_00,410.08,413.94, p  thompson  i  think  is  also  in  here  so  um  yeah  who  who  are  you  thinking  with
SPEAKER_01,413.7,441.68, with  yeah  i  mean  again  to  me  this  is  just  sort  of  other  people  speaking  through  me  so  that  we  can  you  know  have  a  conversation  about  these  things  that  i  have  found  are  important  to  you  know  various  groups  of  people  that  i  talk  to  um  about  you  know  to  put  it  mildly  like  building  world  that  we  want  right  um
SPEAKER_02,440.12,440.68, right
SPEAKER_01,442.76,448.92, so  luxemburg  is  really  good  in  that  regard  yeah  right  um  and  you
SPEAKER_02,444.92,445.16, yeah
SPEAKER_01,448.92,498.2, know  i  think  she  i  you  know  i  was  talking  she's  one  of  the  original  infrastructural  scholars  right  like  her  marks  like  all  the  sort  of  foundational  marxist  and  socialist  writers  are  primarily  concerned  with  infrastructure  whether  that's  infrastructure  for  you  know  the  transport  of  grain  or  the  transport  of  people  or  you  know  the  machines  that  um  are  part  of  the  you  know  labor  conditions  of  workers  right  like  they  are  all  highly  attuned  to  these  things  and  i  sort  of  wanted  to  recuperate  them  back  into  our  lexicon  or  our  sort  of  contemporary  thinking  for  a  lot  about  this  stuff  because  i  find  them  very  helpful  in
SPEAKER_02,491.44,498.2, lexicon  in
SPEAKER_01,498.2,504.56, simplifying  but  also  like  staying  focused  on  what  matters  and  what  sort  of  doesn't
SPEAKER_03,503.4,504.56, doesn't
SPEAKER_01,504.56,580.48, so  you  know  i  think  uh  rosa  luxembourg  is  really  good  in  this  regard  and  i  um  so  being  from  the  midwest  grain  infrastructure  has  always  been  a  fascination  of  mine  um  and  uh  so  you  know  dylan  barney  cooperatives  and  uh  grain  transport  infrastructure  has  been  you  know  really  helpful  um  but  i  think  you  know  sort  of  going  back  to  rosa  luxembourg  um  she  was  saying  all  of  the  things  you  know  over  about  100  years  over  100  years  ago  that  i  think  are  still  really  important  today  right  like  we  need  to  think  about  scale  the  the  concept  of  scale  today  as  like  heavily  intertwined  with  you  know  the  imperialist  capitalist  capitalist  property  you  know  industrial  property  state  and  how  this  sort  of  all  ever  you  know  ever  reaching  drive  for  like  a  hinterland  to  control  or  an  outside  to  um  bring  into  the  fold  of  capitalism  is  is  is  no  less  true  today  than  it  was  you  know  a  hundred  years  ago  um
SPEAKER_03,579.8,580.48, um
SPEAKER_01,580.48,630.52, you  know  the  modes  of  encroachment  have  changed  or  sort  of  the  infrastructures  of  encroachment  have  changed  and  a  lot  of  this  book  is  about  like  how  can  we  trace  like  back  from  the  railroads  and  back  from  the  postal  office  you  know  postal  system  to  the  very  structures  we  have  today  and  the  same  drives  undergird  them  yeah  so  so  there's  that  i  wanted  to  recuperate  a  lot  of  this  marxist  thinking  back  into  our  um  you  know  thinking  about  um  technology  pushback  organizing  science  and  technology  studies  you  know  there  are  a  lot  of  um  marxist  sts  theorists  but  a  lot  of  people  you  know  it  gets  swept  under  the  rug  you  don't  say  marxism  even  though  you  may  be  talking  about  you  know  some  very  clear  marxist  concepts  um
SPEAKER_02,629.8,630.52, um
SPEAKER_01,630.52,638.64, it's  not  something  that  like  people  are  very  open  about  so  i  wanted  to  sort  of  recoup  and  i'm  not  saying  nobody  does  it  but  i'm  just  saying  i  wanted  to  normalize  it  a  little  bit
SPEAKER_02,638.64,639.56, yeah  um
SPEAKER_01,638.86,652.94, um  so  that's  that  reason  you  know  i  think  also  jody  dean  is  one  of  my  favorite  scholars  so  jody  dean  and  david  galumbia  are  the  reason  that  i  went  to  get  my  master's  i
SPEAKER_03,651.98,652.94, i
SPEAKER_01,652.94,672.7, read  their  work  and  decided  to  go  get  my  master's  degree  um  and  in  2011  when  i  started  getting  my  master's  degree  everybody's  like  what  you  talking  about  digital  labor  that's  that's  weird  or  like  um  you  know  communicative  communicative  capitalism  like  because
SPEAKER_03,671.9,672.7, because
SPEAKER_01,672.7,706.12, this  was  the  heyday  of  the  internet  of  you  know  an  unquestionable  political  good  you  know  we  are  going  to  it's  going  to  bring  about  you  know  a  better  world  all  this  stuff  and  there  were  and  jody  dean  and  david  galumbia  were  like  hold  up  wait  a  second  um  you  know  and  others  too  but  those  two  were  like  who  i  got  a  hold  of  of  and  who  really  um  you  know  influenced  me  and  my  burgeoning  work  there  when  i  you  know  went  back  to  get  my  master's  degree  um  and  i  have  had  the  chance  since  to  interact  with  both  of  them  and  i've  had  the  chance  since  um
SPEAKER_03,705.58,707.16, um  we
SPEAKER_01,706.12,710.8, we  were  on  a  panel  in  2023  together  it
SPEAKER_03,709.68,710.8, it
SPEAKER_01,710.8,722.72, was  one  of  the  best  experiences  of  my  life  um  and  i  was  trying  really  hard  to  you  know  um  be  really  professional  and  come  off  as  like  you  know  yeah
SPEAKER_03,722.16,723.14, yeah  very
SPEAKER_01,722.72,730.42, very  smart  and  sophisticated  but  um  i  was  just  like  exploding  on  the  inside  because  i  was  so  excited  to  talk  to  these  people  yeah
SPEAKER_03,729.9,730.98, yeah  um
SPEAKER_01,730.42,744.54, um  about  big  ideas  and  you  know  we  had  dinner  and  it  really  nice  um  and  and  yeah  david  galumnia  gave  me  some  notes  on  a  chapter  before  you  passed
SPEAKER_03,744.54,747.92, um  and
SPEAKER_01,744.86,754.88, and  you  know  we  had  this  kind  of  like  whole  day  of  conversation  about  what  would  what  was  in  process  at  this  time  the  book  so  it's
SPEAKER_03,753.46,753.98, so
SPEAKER_01,754.88,755.28, nice
SPEAKER_03,755.28,756.8, yeah  um
SPEAKER_01,755.82,802.28, um  but  you  know  i  everybody  i've  ever  met  influences  this  book  like  i  my  sort  of  personal  story  is  really  bound  up  in  the  selection  of  cases  and  you  know  um  of  course  my  positionality  that  i'm  using  to  interpret  all  of  this  data  and  make  these  arguments  right  um  and  i  also  want  to  say  my  colleague  dan  green  was  very  um  i  don't  know  um  i  don't  want  to  say  he  was  helpful  he  was  very  like  he  is  someone  who  i  think  has  really  good  thinking  on  this  stuff  he's  really  kind  he's  a  you  know  generous  colleague  and  his  book  on  land  or  he's  not  his  book  his  paper  on  landlords  of  the  internet  um
SPEAKER_02,801.9,804.1, um  was
SPEAKER_01,802.28,817.06, was  you  know  is  really  great  um  and  i  think  was  really  helpful  and  in  thinking  through  the  land  extraction  component  that  sort  of  weaves  itself  through  the  book  yeah
SPEAKER_00,815.02,875.04, yeah  um  yeah  i  think  jody  dean  and  david  Columbia  like  one  thing  i  associate  with  them  is  that  they're  very  um  like  you  know  they're  not  afraid  to  break  consensus  they're  um  they're  they're  you  know  they  wear  their  heart  on  their  sleep  i  think  a  little  bit  and  i  feel  that  um  in  your  book  uh  because  especially  in  this  like  beginning  section  where  you  talk  about  your  methods  and  your  disciplinary  commitments  and  you  um  make  this  like  critique  of  STS  i  feel  that  we  kind  of  need  to  um  uh  we  need  the  spirit  of  jody  dean  and  dave  columbia  there  i  think  i  mean  just  to  read  a  sentence  that  you  have  um  you  said  sts  work  that  describes  sociotechnical  imaginaries  in  direct  relation  to  historical  materialism  and  the  philosophy  of  that  works  towards  understanding  and  enacting  a  meaningful  bottom -out  control  over  the  mode  of  production  or  constant  capital  exists  but  remains  rare  um  so  i  wanted  to  ask  like  you  know  just  broadly  why  you  think  that  is  i  guess  and  what  are  some  of  the  works  that  you  feel  that  are  in  sts  that  um  are  doing  this  well  or  they  yeah
SPEAKER_03,815.02,817.06, yeah
SPEAKER_02,874.54,875.04, yeah
SPEAKER_01,874.54,898.2," yeah  yeah  um  um  So,  know,  Helen  Ashian  has  a  lot  of  good  work  on  why  people  who  talk  about  the  history  of  science  and  the  philosophy  of  science  don't  evoke  Marxism.  She  herself  is  a,  you  know,  Marxist,  um,  STS  practitioner.  Um,  and  so,  you  know,"
SPEAKER_03,893.3,893.38," um,"
SPEAKER_01,899.04,934.38," I  think  it's,  maybe  goes  without  saying,  but,  you  know,  the  anti -communist  and  anti -communist  sentiment  that,  um,  anti -communist  sentiment  that,  um,  has  been  very  prevalent  throughout  the  20th  century  and  into  the  21st  century  makes  it  so  that  it  is,  it  feels  uncomfortable,  if  not  dangerous  to  scholars  to  say  Marxism  or,  you  know,  talk  about  Rosa  Luxembourg,  things  like  that.  Even  though,  you  know,  many  of  us,  and  I  think  in  other  disciplines,  it's,  it's  well -truck  territory,  right?"
SPEAKER_02,934.68,935.22," Um,"
SPEAKER_01,934.68,961.0," Um,  but  I  think  in  STS,  Because  they're  also,  you  know,  STS  is  often,  you  know,  people  who  practice  it  are  often  practicing  within  STEM  departments  or  fields,  right?  Which  are  inherently,  or  for  what,  you  know,  not,  not  necessarily  inherently,  but  are,  you  know,  socially  produced  as  more  conservative,  right?  Yeah.  So  that's  where  your,  you  know,"
SPEAKER_03,957.84,957.98, Yeah.
SPEAKER_01,962.66,980.98," mentors  are,  your  tenure  and  promotion  case,  you  know,  evaluation,  the  people  who  have.  evaluate  your  tenure  and  promotion  cases  are.  And  so,  you  know,  it's,  it's  a  bit  of  not  wanting  to  rock  the  boat  in  some  ways.  It's  a  bit  of  the  fact  that  Marx"
SPEAKER_00,977.84,978.1, It's  a
SPEAKER_01,980.98,1048.58," and  saying  Marxism  has  so  much  baggage,  like,  not  just  from,  you  know,  explicitly  more  right -wing,  like  anti -communist  folks,  but  like,  you  know,  people,  straight  down  the  line,  centrist  Democrat,  you  know,  identifying  people  or  liberal  people  also  there's  this  sort  of  push  against,  you  know,  saying  Marx  or,  you  know,  talking  about  communism.  And  then,  you  know,  there's  also  the  many  critiques  of  Marxism,  that  it  doesn't  go  far  enough,  that  it  doesn't  reckon  with,  you  know,  transnational  labor  or  with,  um,  uh,  with  race  or  with  gender  in  any  meaningful  way,  right?  So  there  are  all  sorts  of  threads  that  intertwine,  I  think,  for,  For  some  for  good  reason,  um,  and  others  for,  you  know,  more  nefarious  reasons  or  like  silly  reasons,  right?  Um,  but  for  all  of  those  reasons,  uh,  Marx  is  not  articulated  as  much,  uh,  as,  or,  you  know,  hailed  as  like  an  infrastructural  theorist  in  STS  that  is  very  focused  on.  Mm"
SPEAKER_00,1048.46,1048.7, Mm -hmm.
SPEAKER_01,1048.58,1050.94,"-hmm.  Infrastructural  theory,  right?  Yeah."
SPEAKER_00,1052.48,1052.74," Um,"
SPEAKER_01,1053.08,1058.52," but  like  books,  you  also  asked  about,  like,  who,  who  does  well  in  the  same?  area.  What  are  some  of  the  few?"
SPEAKER_03,1057.12,1058.0, area.  What  are  some
SPEAKER_01,1059.36,1065.1," Um,  I  said  Dylan  Barney  before,  it's  Darren  Barney.  Okay.  Um,"
SPEAKER_03,1064.72,1065.1," Okay.  Um,"
SPEAKER_01,1066.58,1103.5," so  I  think  his  work  is  really  good.  Um,  I  think  Marissa  Sandoval's  work  is  really  good.  You  know,  and  both  of  those  are  people  that  I  heavily  cite,  um,  in  my  work.  Um,  some  people  might  argue  that  they're  not,  like,  explicitly  STS,  right?  Uh,  and  then  we  have,  you  know,  folks  like,  Keene  Birch,  dear  colleague  Dan  Green,  um,  who  are  doing  good  work,  uh,  and  like  using  some,  some  Marxist  analyses  or  at  least,  you  know,  frameworks  in  their,  yeah,  in  their,  uh,  in  their,  uh,  in  their,  uh,  in  their  great  work."
SPEAKER_00,1103.92,1132.18," Yeah.  Yeah,  I'm  glad,  uh,  Keen  Birch  is  hosting,  uh,  for  us  this  year,  or  he's  a  chairing  owner,  yeah.  Um,  okay,  so  besides  distinguishing,  um,  well,  Well,  I  guess,  first,  um,  I'm  curious  if  you  can  comment  on,  like,  what  this,  like,  you  know,  the  political  economics  slash  historical  materialist  frame,  um,  maybe  reveals  that,  um,  like,  for,  in  your  book,  that  maybe  at  a  solely  an  STS  lens,  uh,  lens  can't,  I  guess."
SPEAKER_01,1132.64,1140.92," Yeah.  Yeah.  And  here,  I  guess  here's  what  I  might  say  is  that  STS  does  a  lot  of  this  stuff,  but  doesn't  call  it  that,"
SPEAKER_02,1140.5,1141.44," that,  right?"
SPEAKER_01,1141.02,1154.92," right?  Mm -hmm.  Right.  So,  like,  thinking  about,  um,  intertwined,  entangement.  If  you  will,  um,  in,  you  know,  historical,  material,  political,  and  environmental  sort  of,  um,"
SPEAKER_02,1146.12,1147.38, If  you
SPEAKER_01,1157.04,1181.16," activities  or,  um,  engagements,  uh,  is  something  that,  like,  STS  talks  about  a  lot,  but  I  think  that,  um,  you  know,  thinking  about  it  from  this  historical  materialist  frame  really  helps  us  think  about  how  power  is  concentrated  and  how  people,  you  know,  And  again,  like,  in  STS,  we  talk  about  actors  and,  you  know,  actants  all  the  time.  But  I  think,"
SPEAKER_00,1179.86,1180.26, actants  all
SPEAKER_01,1181.8,1194.94," thinking  about  it  within  the  frame  of  historical  materialism  actually  politicizes  power  in  a  way  that  STS,  when  we're  talking  about,  you  know,  like  the  Bruno  Latour,  or,  you  know,  what  people,  most  people  associate  with  STS,  we're  talking  about,"
SPEAKER_03,1193.9,1194.14, we're
SPEAKER_01,1195.48,1199.12," we're  talking  about,  we're  simply  describing  relationships  and"
SPEAKER_03,1197.9,1199.12, and
SPEAKER_01,1199.12,1203.82," how  they,  maybe  how  they  affect  each  other.  But  we're  not  talking  as  much  about  power,"
SPEAKER_01,1204.1,1221.68," you  know,  just  sort  of  to  speak  generic.  generically  about  STS.  And  we're  not  talking  about  power  to  shape  things  as  an  explicitly  political  project  that  is  difficult,  that  can  be  dangerous,  that  is,  you  know,  fraught.  And  folks,  you  know,  have  to  grapple  with  it."
SPEAKER_03,1204.1,1204.54, you
SPEAKER_03,1220.26,1220.7," you  know,  have"
SPEAKER_01,1222.08,1230.84," And  usually  it  talks  about  stuff  at  the  level  of  like  capital  P  policy,  like  state  policy,  like  stuff  that,  you  know,  goes  in  writing  and"
SPEAKER_00,1228.62,1228.86," you  know,"
SPEAKER_01,1230.84,1343.84," that  is  supposed  to,  and  does,  you  know,  shape  a  lot  of  the,  sociotechnical  context  that  they're  talking,  you  know,  that  STS,  um,  uh,  talks  about.  But,  um,  I  think,  I  just  had  it,  and  then  it  lost,  I  left  me.  Um,  talking  about  STS  contexts,  um,  and  maybe  it'll  come  back.  And,  um,  there  was  something  really,  that  I  thought  was  cool,  but,  um,  and  I  think,  okay,  so  it  focuses  on  policy,  like  capital  P  policy,  but  it  doesn't  really  focus  on  like,  capital  P  policy,  but  it  doesn't  really  focus  on,  like,  contestation  and  bottom  up,  like,  how,  how  people  might  contest  and  enact  their  own,  you  know,  desires  will,  you  know,  politics  on  these  systems  in  a  way  that,  like,  is  outside  of,  you  know,  of  capital  P  policy,  right?  Um,  you  know,  at  best,  we're  talking  about,  like,  how  designers  make  decisions  and  every,  you  know  what  I  mean,  but  like,  there's  that,  but  there's  also,  you  know,  how  can  users  push  back,  how  can't,  you  know,  like,  there,  there,  there's  many  ways  to  bring  the  fragments  together,  um,  and  to  think  about  people,  not  just  as  sort  of  like  subsets  or  subjects  of  technology,  but  as  like,  as  real,  um,  you  know,  I  guess  drivers  of,  of  what  policy  can  become,  um,  that,  like,  yes,  STS  does  speak  to  this,  but  it's  not  laden  with,  like,  political  power  in  the  same  way  that  I  think  it  is  encampion  with,  like,  Marxist  historical  materialism."
SPEAKER_00,1342.58,1411.32," historical  Yeah,  totally.  Um,  yeah,  um,  yeah,  I  feel  like  the  other  thing  that,  um,  like,  of  that  I,  I  associate  with  Marxist,  that  your  book  took  on  is,  like,  um,  like,  um,  like  in  the  introduction  to  the  gruntries,  Marks  has,  like,  you  know,  he  chooses  the  example  of,  like,  population.  He  says,  like,  this  is,  you  know,  it  appears,  um,  you  can't  take  it  just  as  it  appears,  I  guess,  and  you  have  to  decompose  it  into  its,  you  know,  abstract  components.  You  have  to  understand  how  it's,  uh,  these  things  come  together,  basically,  and  sort  of  reconstruct  it.  And  that's  also,  like,  this  historical  process.  You  have  to  pay  attention  to  the  conquering  conditions.  Um,  and  then  in  your  book,  uh,  it's,  you  try  to  do  this  similar  approach  where  you're  not  just  looking  at  like  one  layer  of  the  stack,  I  guess,  but  trying  to,  um,  you  know,  get  this  whole  entire  picture,  I  guess,  that  goes  all  the  way  down  to,  um,  you  know,  these  very  material  and  very  specific  geographical,  uh,  context,  I  guess.  Um,  so  I  guess  to,  um,  my  question  is,  uh,  I  guess,  um,  why  you  felt  that  it's  kind  of  like,  um,  why  you  felt  you  had  to  get  down  to  the  infrastructure  in  order  to,  um,  to,  like,  you  know,  the  cables  and  the,  um,  protocols,  et  cetera  in  order  to  talk  about  the,  you  know,  the  politics  of  the  internet,  I  guess."
SPEAKER_01,1411.48,1423.42," Yeah.  Yeah,  so,  you  know,  I  think  a  lot  of  people  like  to  focus  on  technology  or  the  internet,  like  to  focus  on,  like  to  focus  on,  like,  what  faces  the  users  at"
SPEAKER_00,1417.18,1418.06, or  the
SPEAKER_03,1422.2,1423.42, at
SPEAKER_01,1423.42,1443.88," the  application  layer,  the  platform  layer,  like  what  we  engage  with,  you  know,  or  what  most  people  broadly  engage  with.  Um,  you  know,  we,  so  many  works  around  STS,  and,  you  know,  they're  focused  on  meta,  Twitter,  how  people  engage  with  post.  like  all  of  this  stuff,  right?"
SPEAKER_03,1444.1,1444.16, Yeah.
SPEAKER_01,1445.58,1468.7," And,  you  know,  we,  we  argue  that  like,  you  know,  capitalism  is  driving,  you  know,  what  is  happening  at  the  application  layer,  right?  But  like,  I  really  wanted  to  get  at  what  drives,  you  know,  these  sort  of  capitalist,  market -driven  frameworks  at  the  application  layer  by  looking  deeper,  right?  So  everything"
SPEAKER_00,1467.38,1467.9, right?  So
SPEAKER_01,1468.7,1477.94," that  happens  beneath  and  all  the  material  relationships,  beneath  the  application  layer  are  what  determine  what  is  possible  at  the  application  layer,"
SPEAKER_03,1478.06,1478.74, right?
SPEAKER_01,1478.06,1539.56," right?  And  so,  yeah,  I  think  really  getting  into  the  resources,  the,  you  know,  supply  chains  and  the  labor  issues  that  exist  in  the  lower  levels  of,  um,  of  internet  infrastructure  really  lays  bare  that,  um,  um,  while  these  determine  what  is  possible  at  the  application  layer,  they  are  sites  of  struggle.  They,  they  have  been  and  might  be  otherwise,  right?  And  in  that  sort  of  negotiated  struggle  position,  there's  a  possibility,  right?  And  so  I  wanted  to,  um,  really  highlight  the  contingency  and  the  struggle  and  the  deeper  layers  of  internet  infrastructure  to  highlight  that  there  is  some  room  for  changing  things  within  these  infrastructures  like  the  internet  that  we  see  as  inevitable  um"
SPEAKER_03,1539.04,1540.6, um  and
SPEAKER_01,1539.56,1549.94, and  so  i'm  laughing  here  a  little  bit  because  i'm  thinking  back  to  your  poster  the  folks  who  um  you  know  postered  around  the  department  uh
SPEAKER_03,1544.66,1545.66, the  folks
SPEAKER_01,1549.94,1614.76, in  relationship  to  your  event  about  AI  not  being  inevitable  um  but  you  know  and  then  i  also  dig  into  the  history  of  of  of  the  internet  itself  to  show  how  you  know  it  was  decision  made  by  people  in  particular  ways  over  time  that  made  the  internet  what  it  is  protocol  by  protocol  protocol  layer  by  layer  um  and  that  people  are  still  making  decisions  about  how  the  internet  functions  and  works  and  is  made  accessible  to  people  um  you  know  all  over  the  country  i  focused  on  the  u .s  because  that's  where  i  feel  i  have  um  you  know  the  the  authority  to  speak  to  some  degree  right  but  um  i  think  i  think  digging  deep  into  these  layers  really  helps  us  see  um  you  know  engage  in  a  a  more  concrete  philosophy  of  practice  of  practice  which  was  something  that  was  important  to  me  here  like  not  just  describing  the  material  conditions  but  also  how
SPEAKER_03,1609.94,1610.54, like
SPEAKER_01,1614.76,1618.22, things  can  be  otherwise  yeah
SPEAKER_00,1615.82,1656.58, yeah  um  i  feel  that  it  sort  of  comes  hand  in  hand  with  this  you  know  you  focus  on  specific  local  context  i  guess  as  a  as  a  way  to  make  things  more  concrete  um  yeah  these  like  rural  rural  cases  i  guess  that  um  comprise  of  the  you  know  first  you  know  a  few  big  chapters  and  then  you  also  talk  about  chattanooga  and  philadelphia  um  so  i'm  just  curious  about  if  you  can  comment  on  like  um  well  you  noted  that  um  chattanooga  and  philadelphia  are  like  the  couple  notable  exceptions  i  guess  so  i'm  just  curious  about  if  you  can  comment  on  why  the  rural  cases  are  particularly  important  to  um  for  understanding  yeah  what's  going  on  and  to  uh  yeah  get  at  that  right  of  earlier  yeah
SPEAKER_01,1655.36,1769.28, yeah  so  you  know  somebody  from  a  rural  area  um  and  as  i  was  earlier  talking  about  like  i've  had  cooperative  everything  utilities  my  whole  life  like  this  is  a  reality  for  people  who  live  in  like  the  bleeding  red  heart  of  america  right  like  conservative  america  has  socialism  living  within  it  right  and  so  that  in  and  of  itself  is  like  that  in  and  of  itself  is  like  instructive  right  like  there  is  there  one  should  sense  some  possibility  for  building  out  um  you  know  some  different  senses  around  infrastructure  knowing  that  that  that  exists  and  a  lot  of  people  don't  know  that  that  exists  right  so  part  one  was  just  like  drawing  attention  to  it  um  and  part  two  is  because  you  know  rural  america  has  been  um  you  know  constructed  as  a  hinterland  in  ways  that  Rosa  Luxembourg  talk  about  that  William  Cronin  talk  about  in  particular  ways  historically  right  like  people  were  drawn  into  these  rural  areas  and  you  know  across  the  Midwest  especially  in  the  same  ways  that  boosters  are  boosting  AI  now  right  like  they  were  promised  all  of  these  things  better  work  better  lives  better  better  everything  and  then  they  get  out  to  these  rural  areas  and  they're  completely  isolated  and  alone  and  then  capital  comes  in  with  railroads  and  tries  to  sell  them  you  know  all  of  these  goods  that  are  built  or  you  know  produced  elsewhere  to  sort  of  bring  this  area  into  the  capitalist  core  and  so  i  talk  about  these  rural  areas  to  sort  of  draw  a  through  line  from  rosa  luxembourg  today  to  you  know  to  now  to  today  and  to  the  things  that  we're  seeing  with  like  tech  proselyization  into
SPEAKER_03,1767.62,1769.28, into
SPEAKER_01,1769.28,1774.42, our  everyday  lives  and  also  across  the  world  as  like  again  this  unquestionable  good  um
SPEAKER_03,1773.8,1774.42, um
