start,end,speaker,text
28.64,29.52,SPEAKER_00, more
28.64,29.52,SPEAKER_00, more
29.52,29.94,SPEAKER_00, analytical
29.94,30.32,SPEAKER_00, academic
30.32,30.6,SPEAKER_00, one
30.6,30.86,SPEAKER_00, uh
30.86,31.88,SPEAKER_00, yeah
30.86,31.88,SPEAKER_01, yeah
31.88,32.8,SPEAKER_01, so
32.8,35.2,SPEAKER_01, what
31.88,32.8,SPEAKER_00, so
32.8,35.2,SPEAKER_01, what
35.2,35.58,SPEAKER_01, happened
35.58,36.0,SPEAKER_01, was
37.54,38.18,SPEAKER_01, so
38.18,38.48,SPEAKER_01, the
38.48,38.94,SPEAKER_01, pandemic
38.94,39.3,SPEAKER_01, hit
39.3,39.52,SPEAKER_01, was
39.52,39.62,SPEAKER_01, the
39.62,39.78,SPEAKER_01, first
39.78,39.96,SPEAKER_01, time
39.96,40.04,SPEAKER_01, i
40.04,40.18,SPEAKER_01, had
40.18,40.3,SPEAKER_01, to
40.3,40.46,SPEAKER_01, teach
40.46,40.8,SPEAKER_01, virtual
40.8,41.3,SPEAKER_01, class
41.3,42.42,SPEAKER_01, and
41.3,42.42,SPEAKER_02, and
41.3,42.42,SPEAKER_01, and
41.3,42.42,SPEAKER_01, and
42.42,43.66,SPEAKER_01, you
42.42,43.66,SPEAKER_01, you
43.66,43.84,SPEAKER_01, know
43.84,44.0,SPEAKER_01, i
44.0,44.22,SPEAKER_01, was
44.22,44.62,SPEAKER_01, thinking
44.62,44.98,SPEAKER_01, a
44.98,45.32,SPEAKER_01, lot
45.32,45.94,SPEAKER_01, about
45.94,46.76,SPEAKER_01, internet
46.76,47.66,SPEAKER_01, connectivity
47.66,48.52,SPEAKER_01, because
48.52,49.58,SPEAKER_01, there
49.58,49.72,SPEAKER_01, were
49.72,49.92,SPEAKER_01, two
49.92,50.4,SPEAKER_01, people
50.4,50.9,SPEAKER_01, zooming
50.9,51.18,SPEAKER_01, all
51.18,51.38,SPEAKER_01, day
51.38,51.78,SPEAKER_01, long
51.78,52.24,SPEAKER_01, in
52.24,52.36,SPEAKER_01, the
52.36,52.8,SPEAKER_01, house
52.8,53.42,SPEAKER_01, of
53.42,53.74,SPEAKER_01, you
53.74,53.84,SPEAKER_01, know
53.84,54.0,SPEAKER_01, in
54.0,54.12,SPEAKER_01, our
54.12,54.58,SPEAKER_01, 400
54.58,54.94,SPEAKER_01, square
54.94,55.26,SPEAKER_01, foot
55.26,55.8,SPEAKER_01, apartment
55.8,55.98,SPEAKER_01, in
55.98,56.12,SPEAKER_01, new
56.12,56.32,SPEAKER_01, york
56.32,56.62,SPEAKER_01, city
57.54,58.04,SPEAKER_01, know
58.04,58.36,SPEAKER_01, thinking
58.36,58.64,SPEAKER_01, a
58.64,58.82,SPEAKER_01, lot
58.82,59.04,SPEAKER_01, very
59.04,59.52,SPEAKER_01, practically
59.52,59.82,SPEAKER_01, about
59.82,60.16,SPEAKER_01, internet
60.16,60.94,SPEAKER_01, connectivity
60.94,61.9,SPEAKER_01, thinking
60.94,61.9,SPEAKER_01, thinking
61.9,62.5,SPEAKER_01, a
62.5,62.8,SPEAKER_01, lot
62.8,63.28,SPEAKER_01, about
63.28,63.92,SPEAKER_01, zoom
63.92,64.86,SPEAKER_01, classrooms
64.86,65.06,SPEAKER_01, and
65.06,65.22,SPEAKER_01, like
65.22,65.36,SPEAKER_01, how
65.36,65.48,SPEAKER_01, to
65.48,65.68,SPEAKER_01, be
65.68,65.94,SPEAKER_01, an
65.94,66.56,SPEAKER_01, effective
66.56,67.92,SPEAKER_01, teacher
66.56,67.92,SPEAKER_01, teacher
67.92,68.92,SPEAKER_01, online
68.92,69.9,SPEAKER_01, uh
68.92,69.9,SPEAKER_01, uh
69.9,70.94,SPEAKER_01, as
69.9,70.94,SPEAKER_01, as
70.94,71.3,SPEAKER_01, well
71.3,71.78,SPEAKER_01, as
71.78,72.1,SPEAKER_01, you
72.1,72.26,SPEAKER_01, know
72.26,72.64,SPEAKER_01, dealing
72.64,72.98,SPEAKER_01, with
72.98,73.14,SPEAKER_01, the
73.14,73.6,SPEAKER_01, whole
73.6,75.68,SPEAKER_01, collapse
73.6,75.68,SPEAKER_01, collapse
75.68,75.88,SPEAKER_01, of
75.88,76.04,SPEAKER_01, the
76.04,76.4,SPEAKER_01, social
76.4,76.64,SPEAKER_01, like
76.64,77.08,SPEAKER_01, further
77.08,77.56,SPEAKER_01, collapse
77.56,77.7,SPEAKER_01, of
77.7,77.84,SPEAKER_01, the
77.84,78.18,SPEAKER_01, social
78.18,78.98,SPEAKER_01, contract
78.98,79.64,SPEAKER_01, and
79.64,79.9,SPEAKER_01, you
79.9,80.02,SPEAKER_01, know
80.02,80.86,SPEAKER_01, infrastructural
80.86,81.26,SPEAKER_01, decline
81.26,81.42,SPEAKER_01, the
81.42,81.8,SPEAKER_01, increase
81.8,81.98,SPEAKER_01, of
81.98,82.44,SPEAKER_01, surveillance
82.44,82.9,SPEAKER_01, with
82.9,83.12,SPEAKER_01, you
83.12,83.26,SPEAKER_01, know
83.26,83.68,SPEAKER_01, online
83.68,84.38,SPEAKER_01, all
83.68,84.38,SPEAKER_01, all
84.38,84.66,SPEAKER_01, sorts
84.66,84.76,SPEAKER_01, of
84.76,85.22,SPEAKER_01, activities
85.22,85.54,SPEAKER_01, going
85.54,85.98,SPEAKER_01, online
85.98,86.22,SPEAKER_01, right
86.22,86.78,SPEAKER_01, and
86.22,86.78,SPEAKER_01, and
86.78,87.08,SPEAKER_01, so
87.08,88.02,SPEAKER_01, i
87.08,88.02,SPEAKER_01, i
88.02,88.3,SPEAKER_01, was
88.3,88.68,SPEAKER_01, thinking
88.68,89.08,SPEAKER_01, a
89.08,89.54,SPEAKER_01, lot
89.54,90.1,SPEAKER_01, about
90.1,91.1,SPEAKER_01, how
90.1,91.1,SPEAKER_01, how
91.1,91.4,SPEAKER_01, things
91.4,91.6,SPEAKER_01, might
91.6,91.74,SPEAKER_01, be
91.74,92.26,SPEAKER_01, otherwise
92.26,92.82,SPEAKER_01, um
92.82,93.34,SPEAKER_01, and
93.34,93.52,SPEAKER_01, like
93.52,93.76,SPEAKER_01, thinking
93.76,94.06,SPEAKER_01, about
94.06,94.32,SPEAKER_01, this
94.32,94.78,SPEAKER_01, moment
94.78,95.48,SPEAKER_01, as
95.48,95.62,SPEAKER_01, a
95.62,95.86,SPEAKER_01, moment
95.86,96.08,SPEAKER_01, of
96.08,96.68,SPEAKER_01, rupture
96.68,97.2,SPEAKER_01, to
97.2,98.0,SPEAKER_01, you
92.26,92.82,SPEAKER_02, um
97.2,98.0,SPEAKER_01, you
98.0,98.12,SPEAKER_01, know
98.12,98.42,SPEAKER_01, sort
98.42,98.62,SPEAKER_01, of
98.62,99.32,SPEAKER_01, begin
99.32,99.76,SPEAKER_01, building
99.76,100.24,SPEAKER_01, for
100.24,100.54,SPEAKER_01, something
100.54,100.76,SPEAKER_01, else
100.76,100.88,SPEAKER_01, or
100.88,101.06,SPEAKER_01, begin
101.06,101.44,SPEAKER_01, thinking
101.44,101.72,SPEAKER_01, about
101.72,102.04,SPEAKER_01, something
102.04,102.5,SPEAKER_01, else
102.5,103.26,SPEAKER_01, um
102.5,103.26,SPEAKER_01, um
103.26,103.48,SPEAKER_01, and
103.48,103.76,SPEAKER_01, i
103.76,104.34,SPEAKER_01, you
103.76,104.34,SPEAKER_01, you
104.34,104.44,SPEAKER_01, know
104.44,104.64,SPEAKER_01, i'm
104.64,104.82,SPEAKER_01, prone
104.82,104.98,SPEAKER_01, to
104.98,105.26,SPEAKER_01, thinking
105.26,105.42,SPEAKER_01, a
105.42,105.56,SPEAKER_01, lot
105.56,105.74,SPEAKER_01, about
105.74,106.06,SPEAKER_01, internet
106.06,106.64,SPEAKER_01, infrastructure
106.64,106.98,SPEAKER_01, my
106.98,107.34,SPEAKER_01, dissertation
107.34,107.9,SPEAKER_01, was
107.9,108.38,SPEAKER_01, about
108.38,109.04,SPEAKER_01, uh
109.04,109.52,SPEAKER_01, internet
109.52,110.06,SPEAKER_01, protocols
110.06,110.62,SPEAKER_01, um
110.62,110.76,SPEAKER_01, and
110.76,111.04,SPEAKER_01, that's
111.04,111.94,SPEAKER_01, part
111.04,111.94,SPEAKER_01, part
111.94,112.1,SPEAKER_01, of
112.1,112.26,SPEAKER_01, that
112.26,112.6,SPEAKER_01, dissertation
112.6,113.02,SPEAKER_01, or
113.02,113.32,SPEAKER_01, some
113.32,113.74,SPEAKER_01, um
113.74,113.96,SPEAKER_01, you
113.96,114.1,SPEAKER_01, know
114.1,114.6,SPEAKER_01, offshoots
114.6,114.76,SPEAKER_01, of
114.76,114.9,SPEAKER_01, that
114.9,115.42,SPEAKER_01, dissertation
115.42,115.96,SPEAKER_01, and
115.96,116.38,SPEAKER_01, subsequent
116.38,116.66,SPEAKER_01, field
116.66,116.88,SPEAKER_01, work
116.88,117.06,SPEAKER_01, is
117.06,117.24,SPEAKER_01, in
117.24,117.42,SPEAKER_01, one
117.42,117.54,SPEAKER_01, of
117.54,117.64,SPEAKER_01, the
117.64,118.0,SPEAKER_01, chapters
118.0,118.22,SPEAKER_01, of
118.22,118.4,SPEAKER_01, this
118.4,119.22,SPEAKER_01, book
119.22,119.44,SPEAKER_01, um
119.44,121.04,SPEAKER_01, but
119.44,121.04,SPEAKER_01, but
121.04,121.24,SPEAKER_01, i
121.24,121.48,SPEAKER_01, was
121.48,121.76,SPEAKER_01, really
121.76,122.14,SPEAKER_01, starting
122.14,122.38,SPEAKER_01, to
122.38,122.72,SPEAKER_01, think
122.72,123.3,SPEAKER_01, about
123.3,123.98,SPEAKER_01, you
123.3,123.98,SPEAKER_01, you
123.98,124.08,SPEAKER_01, know
124.08,124.28,SPEAKER_01, as
124.28,124.58,SPEAKER_01, everything
124.58,124.82,SPEAKER_01, went
124.82,125.4,SPEAKER_01, online
125.4,126.86,SPEAKER_01, like
125.4,126.86,SPEAKER_01, like
126.86,127.86,SPEAKER_01, how
127.86,128.5,SPEAKER_01, does
128.5,129.04,SPEAKER_01, internet
129.04,129.8,SPEAKER_01, connectivity
129.8,131.08,SPEAKER_01, undergird
131.08,132.18,SPEAKER_01, all
131.08,132.18,SPEAKER_01, all
132.18,132.38,SPEAKER_01, of
132.38,132.72,SPEAKER_01, this
132.72,133.18,SPEAKER_01, stuff
133.18,133.64,SPEAKER_01, that
133.64,133.72,SPEAKER_01, i
133.72,133.86,SPEAKER_01, was
133.86,134.04,SPEAKER_01, then
134.04,134.36,SPEAKER_01, teaching
134.36,134.68,SPEAKER_01, about
134.68,134.84,SPEAKER_01, in
134.84,134.98,SPEAKER_01, these
134.98,135.34,SPEAKER_01, online
135.34,135.9,SPEAKER_01, classes
135.9,136.38,SPEAKER_01, like
136.38,136.7,SPEAKER_01, you
136.38,136.7,SPEAKER_01, you
136.7,136.82,SPEAKER_01, know
136.82,137.3,SPEAKER_01, surveillance
137.3,137.98,SPEAKER_01, technology
137.98,138.56,SPEAKER_01, social
138.56,138.98,SPEAKER_01, decay
138.98,139.48,SPEAKER_01, political
139.48,140.02,SPEAKER_01, economic
140.02,140.64,SPEAKER_01, concerns
140.64,141.28,SPEAKER_01, around
141.28,142.0,SPEAKER_01, um
141.28,142.0,SPEAKER_01, um
142.0,142.22,SPEAKER_01, you
142.22,142.36,SPEAKER_01, know
142.36,142.76,SPEAKER_01, various
142.76,143.38,SPEAKER_01, technological
143.38,144.26,SPEAKER_01, practices
144.26,144.7,SPEAKER_01, or
144.7,145.52,SPEAKER_01, platforms
145.52,145.78,SPEAKER_01, things
145.78,145.96,SPEAKER_01, like
145.96,146.72,SPEAKER_01, that
145.96,146.72,SPEAKER_01, that
146.72,146.86,SPEAKER_01, um
146.86,148.36,SPEAKER_01, and
146.86,148.36,SPEAKER_01, and
148.36,148.84,SPEAKER_01, also
148.84,149.74,SPEAKER_01, i
149.74,150.28,SPEAKER_01, teach
150.28,150.66,SPEAKER_01, a
150.66,150.94,SPEAKER_01, lot
150.94,151.32,SPEAKER_01, about
151.32,151.64,SPEAKER_01, like
151.64,152.36,SPEAKER_01, social
152.36,153.08,SPEAKER_01, movement
153.08,154.08,SPEAKER_01, um
153.08,154.08,SPEAKER_01, um
154.08,154.68,SPEAKER_01, literature
154.68,155.0,SPEAKER_01, in
155.0,155.18,SPEAKER_01, my
155.18,155.6,SPEAKER_01, classes
155.6,156.04,SPEAKER_01, as
156.04,156.14,SPEAKER_01, it
156.14,156.54,SPEAKER_01, relates
156.54,156.76,SPEAKER_01, to
156.76,156.94,SPEAKER_01, it
156.94,157.08,SPEAKER_01, or
157.08,157.28,SPEAKER_01, as
157.28,157.38,SPEAKER_01, it
157.38,157.6,SPEAKER_01, might
157.6,157.96,SPEAKER_01, relate
157.96,158.1,SPEAKER_01, to
158.1,158.76,SPEAKER_01, technology
158.76,159.3,SPEAKER_01, because
159.3,159.5,SPEAKER_01, even
159.5,159.68,SPEAKER_01, in
159.68,160.12,SPEAKER_01, 2020
160.12,160.38,SPEAKER_01, there
160.38,160.54,SPEAKER_01, is
160.54,160.66,SPEAKER_01, a
160.66,160.9,SPEAKER_01, lot
160.9,161.36,SPEAKER_01, around
161.36,161.66,SPEAKER_01, that
161.66,161.9,SPEAKER_01, right
161.9,162.76,SPEAKER_01, um
162.76,163.08,SPEAKER_01, and
163.08,163.54,SPEAKER_01, so
163.54,165.06,SPEAKER_01, this
163.54,165.06,SPEAKER_01, this
165.06,165.44,SPEAKER_01, book
165.44,165.76,SPEAKER_01, really
165.76,166.26,SPEAKER_01, came
166.26,166.72,SPEAKER_01, out
166.72,167.26,SPEAKER_01, of
167.26,168.38,SPEAKER_01, of
168.38,169.12,SPEAKER_01, the
169.12,169.62,SPEAKER_01, need
169.62,170.18,SPEAKER_01, for
170.18,170.72,SPEAKER_01, sort
170.72,170.9,SPEAKER_01, of
170.9,172.4,SPEAKER_01, what
170.9,172.4,SPEAKER_01, what
172.4,172.5,SPEAKER_01, i
172.5,172.6,SPEAKER_01, want
172.6,172.74,SPEAKER_01, to
172.74,172.74,SPEAKER_01, say
172.76,172.96,SPEAKER_01, say
172.96,173.76,SPEAKER_01, like
173.76,173.96,SPEAKER_01, um
173.96,174.7,SPEAKER_01, drawing
174.7,175.08,SPEAKER_01, together
175.08,175.36,SPEAKER_01, some
175.36,175.54,SPEAKER_01, of
175.54,175.68,SPEAKER_01, the
175.68,176.18,SPEAKER_01, strands
176.18,176.68,SPEAKER_01, that
176.68,176.88,SPEAKER_01, i
176.88,177.1,SPEAKER_01, had
177.1,177.48,SPEAKER_01, been
177.48,177.8,SPEAKER_01, thinking
177.8,178.18,SPEAKER_01, about
178.18,178.42,SPEAKER_01, and
178.42,178.66,SPEAKER_01, teaching
178.66,179.04,SPEAKER_01, about
179.04,179.26,SPEAKER_01, and
179.26,179.66,SPEAKER_01, researching
179.66,180.06,SPEAKER_01, about
180.06,180.56,SPEAKER_01, in
180.56,180.72,SPEAKER_01, a
180.72,180.8,SPEAKER_01, way
180.8,180.98,SPEAKER_01, that
180.98,181.08,SPEAKER_01, i
181.08,181.22,SPEAKER_01, could
181.22,181.84,SPEAKER_01, articulate
181.84,182.48,SPEAKER_01, in
180.06,180.56,SPEAKER_02, in
181.84,182.48,SPEAKER_01, in
182.48,182.6,SPEAKER_01, a
182.6,182.92,SPEAKER_01, meaningful
182.92,183.22,SPEAKER_01, way
183.22,183.42,SPEAKER_01, to
183.42,183.68,SPEAKER_01, like
183.68,184.46,SPEAKER_01, students
184.46,185.02,SPEAKER_01, or
185.02,185.66,SPEAKER_01, policymakers
185.66,186.46,SPEAKER_01, that
186.46,186.6,SPEAKER_01, i
186.6,186.84,SPEAKER_01, talk
186.84,187.04,SPEAKER_01, to
187.04,187.44,SPEAKER_01, or
187.44,187.88,SPEAKER_01, community
187.88,188.32,SPEAKER_01, groups
188.32,188.48,SPEAKER_01, that
188.48,188.62,SPEAKER_01, i
188.62,189.04,SPEAKER_01, engage
189.04,189.6,SPEAKER_01, with
189.6,190.0,SPEAKER_01, like
190.0,190.12,SPEAKER_01, in
190.12,190.56,SPEAKER_01, activist
190.56,191.28,SPEAKER_01, projects
191.28,192.04,SPEAKER_01, or
192.04,192.5,SPEAKER_01, you
192.5,192.66,SPEAKER_01, know
192.66,192.94,SPEAKER_01, my
192.94,193.22,SPEAKER_01, mother
193.22,193.34,SPEAKER_01,-in
193.34,193.5,SPEAKER_01,-law
193.5,193.94,SPEAKER_01, right
193.94,194.34,SPEAKER_01, like
194.34,195.0,SPEAKER_01, i
194.34,195.0,SPEAKER_01, i
195.0,195.24,SPEAKER_01, needed
195.24,195.74,SPEAKER_01, something
195.74,195.98,SPEAKER_01, that
195.98,196.18,SPEAKER_01, sort
196.18,196.3,SPEAKER_01, of
196.3,196.68,SPEAKER_01, brings
196.68,196.94,SPEAKER_01, all
196.94,197.1,SPEAKER_01, of
197.1,197.22,SPEAKER_01, this
197.22,197.46,SPEAKER_01, stuff
197.46,197.88,SPEAKER_01, together
197.88,198.14,SPEAKER_01, in
198.14,198.56,SPEAKER_01, an
198.56,198.8,SPEAKER_01, in
198.8,199.06,SPEAKER_01, an
199.06,199.16,SPEAKER_01, an
199.16,199.48,SPEAKER_01, easy
199.48,199.84,SPEAKER_01, and
199.84,200.48,SPEAKER_01, and
199.84,200.48,SPEAKER_01, and
200.48,201.04,SPEAKER_01, somewhat
201.04,201.62,SPEAKER_01, digestible
201.62,201.78,SPEAKER_01, way
201.78,202.0,SPEAKER_01, like
202.0,202.34,SPEAKER_01, listen
202.76,202.86,SPEAKER_01, this
202.86,203.02,SPEAKER_01, is
203.02,203.12,SPEAKER_01, an
203.12,203.46,SPEAKER_01, academic
203.46,204.08,SPEAKER_01, book
204.08,204.68,SPEAKER_01, and
204.68,205.28,SPEAKER_01, i
205.28,205.64,SPEAKER_01, wrote
205.64,205.88,SPEAKER_01, it
205.88,206.18,SPEAKER_01, as
206.18,206.4,SPEAKER_01, part
206.4,206.58,SPEAKER_01, of
206.58,206.72,SPEAKER_01, my
206.72,207.1,SPEAKER_01, job
207.1,207.3,SPEAKER_01, and
207.3,207.4,SPEAKER_01, it
207.4,207.58,SPEAKER_01, has
207.58,207.7,SPEAKER_01, to
207.7,207.86,SPEAKER_01, be
207.86,207.98,SPEAKER_01, on
207.98,208.14,SPEAKER_01, an
208.14,208.44,SPEAKER_01, academic
208.44,208.98,SPEAKER_01, press
208.98,209.16,SPEAKER_01, and
209.16,209.46,SPEAKER_01, reviewed
209.46,209.88,SPEAKER_01, by
209.88,210.48,SPEAKER_01, you
209.88,210.48,SPEAKER_01, you
210.48,210.62,SPEAKER_01, know
210.62,211.18,SPEAKER_01, academics
211.18,211.6,SPEAKER_01, so
211.6,212.04,SPEAKER_01, there
212.04,212.38,SPEAKER_01, is
212.38,212.62,SPEAKER_01, you
212.62,212.72,SPEAKER_01, know
212.72,212.84,SPEAKER_01, the
212.84,213.24,SPEAKER_01, academic
213.24,213.7,SPEAKER_01, language
213.7,213.9,SPEAKER_01, but
213.9,213.98,SPEAKER_01, i
213.98,214.26,SPEAKER_01, think
214.26,214.58,SPEAKER_01, at
214.58,214.82,SPEAKER_01, its
214.82,215.14,SPEAKER_01, core
215.14,215.36,SPEAKER_01, it's
215.36,215.4,SPEAKER_01, a
215.4,215.58,SPEAKER_01, very
215.58,216.08,SPEAKER_01, simple
216.08,216.78,SPEAKER_01, project
216.78,217.76,SPEAKER_01, it's
216.78,217.76,SPEAKER_03, it's
216.78,217.76,SPEAKER_01, it's
217.76,218.16,SPEAKER_01, about
218.16,218.56,SPEAKER_01, you
218.56,218.76,SPEAKER_01, know
218.76,219.54,SPEAKER_01, how
218.76,219.54,SPEAKER_01, how
219.54,219.98,SPEAKER_01, might
219.98,220.3,SPEAKER_01, we
220.3,220.7,SPEAKER_01, think
220.7,220.96,SPEAKER_01, about
220.96,221.18,SPEAKER_01, our
221.18,221.72,SPEAKER_01, contemporary
221.72,222.38,SPEAKER_01, moment
222.38,222.98,SPEAKER_01, when
222.38,222.98,SPEAKER_01, when
222.98,223.08,SPEAKER_01, the
223.08,223.34,SPEAKER_01, world
223.34,223.54,SPEAKER_01, is
223.54,224.14,SPEAKER_01, increasingly
224.14,224.8,SPEAKER_01, a
224.8,225.28,SPEAKER_01, scam
225.28,225.62,SPEAKER_01, we're
225.62,226.56,SPEAKER_01, emiserated
226.56,227.0,SPEAKER_01, you
227.0,227.58,SPEAKER_01, know
227.58,227.78,SPEAKER_01, um
227.78,228.9,SPEAKER_01, technology
227.78,228.9,SPEAKER_01, technology
228.9,229.54,SPEAKER_01, companies
229.54,229.8,SPEAKER_01, are
229.8,230.56,SPEAKER_01, seeking
230.56,231.04,SPEAKER_01, to
231.04,231.42,SPEAKER_01, you
231.42,231.54,SPEAKER_01, know
231.54,232.06,SPEAKER_01, squeeze
232.06,232.42,SPEAKER_01, every
232.42,232.68,SPEAKER_01, bit
232.68,232.74,SPEAKER_01, of
232.76,233.2,SPEAKER_01, value
233.2,233.42,SPEAKER_01, out
233.42,233.54,SPEAKER_01, of
233.54,233.98,SPEAKER_01, all
233.98,234.16,SPEAKER_01, of
234.16,234.4,SPEAKER_01, us
234.4,234.62,SPEAKER_01, and
234.62,234.78,SPEAKER_01, our
234.78,235.34,SPEAKER_01, ecologies
235.34,235.76,SPEAKER_01, and
235.76,235.88,SPEAKER_01, our
235.88,236.46,SPEAKER_01, relationships
236.46,236.82,SPEAKER_01, as
236.82,237.0,SPEAKER_01, they
237.0,237.32,SPEAKER_01, can
237.32,238.0,SPEAKER_01, how
237.32,238.0,SPEAKER_01, how
238.0,238.18,SPEAKER_01, might
238.18,238.3,SPEAKER_01, we
238.3,238.48,SPEAKER_01, push
238.48,238.88,SPEAKER_01, back
239.44,239.88,SPEAKER_01, where
239.88,240.1,SPEAKER_01, are
240.1,240.36,SPEAKER_01, people
240.36,240.74,SPEAKER_01, already
240.74,241.06,SPEAKER_01, pushing
241.06,241.46,SPEAKER_01, back
241.46,241.74,SPEAKER_01, how
241.74,241.9,SPEAKER_01, can
241.9,242.04,SPEAKER_01, we
242.04,242.24,SPEAKER_01, learn
242.24,242.42,SPEAKER_01, from
242.42,243.84,SPEAKER_01, them
242.42,243.84,SPEAKER_01, them
243.84,244.3,SPEAKER_01, and
244.3,245.04,SPEAKER_01, you
245.04,245.22,SPEAKER_01, know
245.22,245.64,SPEAKER_01, how
245.64,246.08,SPEAKER_01, are
246.08,246.76,SPEAKER_01, how
246.08,246.76,SPEAKER_01, how
246.76,246.96,SPEAKER_01, is
246.96,247.3,SPEAKER_01, what
247.3,247.46,SPEAKER_01, is
247.46,247.82,SPEAKER_01, happening
247.82,248.0,SPEAKER_01, at
248.0,248.32,SPEAKER_01, present
248.32,248.76,SPEAKER_01, good
248.76,249.4,SPEAKER_01, but
249.4,249.52,SPEAKER_01, how
249.52,249.66,SPEAKER_01, can
249.66,249.78,SPEAKER_01, we
249.78,249.96,SPEAKER_01, build
249.96,250.14,SPEAKER_01, on
250.14,250.58,SPEAKER_01, it
250.58,251.44,SPEAKER_01, or
251.44,251.66,SPEAKER_01, like
251.66,251.76,SPEAKER_01, you
251.76,251.86,SPEAKER_01, know
251.86,252.12,SPEAKER_01, good
252.12,252.3,SPEAKER_01, but
252.3,252.42,SPEAKER_01, not
252.42,252.72,SPEAKER_01, enough
252.72,252.84,SPEAKER_01, and
252.84,252.98,SPEAKER_01, then
252.98,253.08,SPEAKER_01, how
253.08,253.24,SPEAKER_01, can
253.24,253.34,SPEAKER_01, we
253.34,253.52,SPEAKER_01, build
253.52,253.7,SPEAKER_01, on
253.7,253.9,SPEAKER_01, it
253.9,254.5,SPEAKER_03, yeah
254.5,255.08,SPEAKER_03, so
254.5,255.08,SPEAKER_01, so
255.08,255.58,SPEAKER_01, that's
255.58,256.12,SPEAKER_01, that's
256.12,256.16,SPEAKER_01, that's
256.16,256.28,SPEAKER_01, sort
256.28,256.38,SPEAKER_01, of
256.38,256.54,SPEAKER_01, where
256.54,256.68,SPEAKER_01, the
256.68,257.02,SPEAKER_01, idea
257.02,257.18,SPEAKER_01, of
257.18,257.36,SPEAKER_01, this
257.36,257.74,SPEAKER_01, book
257.74,258.02,SPEAKER_01, came
258.02,258.46,SPEAKER_01, from
259.16,259.6,SPEAKER_01, but
